pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_09::pitch_shift::+4st,0.333333,0.850758,0.778757,1.000000,1.000000,0.917967,1.000000,1.000000,0.591905,0.000000,0.640745,0.990026,0.737775,0.722319
folk_09::time_stretch::-20pct,1.000000,0.988439,0.953023,0.078083,0.250000,0.338020,0.625920,0.057376,0.462647,0.000000,0.917825,0.997590,0.508285,0.418416
folk_09::time_stretch::-5pct,1.000000,0.996358,0.978846,0.506619,0.272727,0.354289,0.968135,0.540236,0.631135,0.125000,0.967328,0.999515,0.682992,0.622909
folk_09::time_stretch::-10pct,1.000000,0.997475,0.980000,0.012634,0.615385,0.345430,0.662550,0.072803,0.631577,0.000000,0.938915,0.998279,0.565377,0.484745
folk_09::time_stretch::+5pct,1.000000,0.993984,0.975629,0.469752,0.181818,0.388226,1.000000,1.000000,0.599760,0.000000,0.975548,0.999586,0.705112,0.648624
folk_09::time_stretch::+10pct,1.000000,0.995827,0.974756,0.469752,0.083333,0.395451,0.968135,0.540236,0.595326,0.250000,0.953471,0.998694,0.672429,0.611707
folk_09::lowpass::lp8000,1.000000,0.999306,0.997132,1.000000,1.000000,1.000000,1.000000,1.000000,0.918951,0.625000,0.327778,0.948622,0.899111,0.951630
folk_09::time_stretch::+20pct,1.000000,0.990511,0.963508,0.078083,0.545455,0.388226,0.968135,0.540236,0.468026,0.000000,0.932692,0.998759,0.639671,0.574468
folk_09::lowpass::lp4000,1.000000,0.999350,0.997300,1.000000,0.000000,0.422162,1.000000,1.000000,0.999931,1.000000,0.083659,0.857779,0.779150,0.841769
folk_09::lowpass::lp2000,1.000000,0.999989,0.999969,1.000000,0.000000,0.490036,0.968135,0.540236,0.940865,0.250000,0.000052,0.902170,0.669665,0.714018
folk_09::distortion::drv4,1.000000,0.998803,0.997025,1.000000,0.636364,0.523973,1.000000,1.000000,0.921497,0.625000,0.894467,0.997034,0.880860,0.867902
folk_09::distortion::drv12,1.000000,0.994501,0.983556,1.000000,0.272727,0.422162,0.989586,0.655126,0.756895,0.250000,0.724421,0.989998,0.746051,0.723886
folk_09::distortion::drv32,1.000000,0.994177,0.987371,0.506619,0.636364,0.570719,0.989586,0.655126,0.704379,0.625000,0.613863,0.987918,0.764213,0.756957
folk_09::style_swap::swap_cross,0.500000,0.926489,0.901133,0.201898,0.260870,0.361967,0.977556,0.641808,0.285515,0.000000,0.314338,0.902644,0.498280,0.476877
folk_09::style_swap::swap_same,0.833333,0.854597,0.825714,0.273835,0.545455,0.388226,0.968135,0.540236,0.276419,0.125000,0.266563,0.907998,0.536867,0.527388
folk_10::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_10::pitch_shift::-4st,0.500000,0.937120,0.865439,1.000000,1.000000,1.000000,1.000000,1.000000,0.707022,0.095238,0.533011,0.991519,0.789879,0.795458
folk_10::pitch_shift::-2st,0.833333,0.925697,0.885811,1.000000,1.000000,1.000000,1.000000,1.000000,0.785705,0.142857,0.842850,0.997307,0.857079,0.844496
folk_10::pitch_shift::-1st,0.000000,0.944500,0.904232,1.000000,1.000000,1.000000,1.000000,1.000000,0.844258,0.285714,0.941414,0.999281,0.818492,0.788126
folk_10::pitch_shift::+1st,0.333333,0.957500,0.890517,1.000000,1.000000,0.898542,1.000000,1.000000,0.848401,0.238095,0.938047,0.999392,0.834214,0.807317
folk_10::pitch_shift::+2st,0.500000,0.928004,0.882656,1.000000,1.000000,0.898542,1.000000,1.000000,0.838864,0.380952,0.829611,0.997784,0.845271,0.831601
folk_10::pitch_shift::+4st,0.166667,0.918721,0.872141,1.000000,1.000000,1.000000,1.000000,1.000000,0.762459,0.142857,0.570327,0.992107,0.773550,0.772069
folk_10::time_stretch::-20pct,0.833333,0.998130,0.978262,0.139407,0.380952,0.309304,1.000000,1.000000,0.570064,0.000000,0.922833,0.999320,0.666917,0.608089
folk_10::time_stretch::-10pct,0.833333,0.998433,0.987514,0.384031,0.190476,0.338020,1.000000,1.000000,0.642541,0.142857,0.959420,0.999799,0.697581,0.641177
