key,id,ref,est,degraded_metrics,dim_target,genre,harmony_tonality.chroma_similarity.chroma_dtw_cosine,harmony_tonality.chroma_similarity.mean_chroma_cosine,harmony_tonality.key_relatedness.distance_norm_0to1,magnitude,melodic_content.contour_dtw_similarity,melodic_content.motif_3gram_recall,perturbation,rhythm_meter.beat_mir_eval.F-measure,rhythm_meter.beat_mir_eval.Information gain,rhythm_meter.delta_bpm_folded,source_id,structural_form.ari,structural_form.pairwise_f,timbre_texture.mean_mfcc_cosine,timbre_texture.mfcc_skl_similarity
s23::cand02,s23::cand02,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand02__B.wav,,rerank,s23,0.9611527862731469,0.9841179416747374,0.0,2.0,0.6761941718913398,0.5,ace_inpaint_candidate,1.0,1.0,0.0,s23,1.0,1.0,0.992370184070806,0.5175406981501934
s23::cand03,s23::cand03,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand03__B.wav,,rerank,s23,0.9603815976098499,0.9824040851550413,0.0,3.0,0.734747461861121,0.0,ace_inpaint_candidate,1.0,1.0,0.0,s23,1.0,1.0,0.9945560415044624,0.598841669782809
s23::cand04,s23::cand04,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand04__B.wav,,rerank,s23,0.9742848702126022,0.9894074048206551,0.0,4.0,0.727069293429961,0.0,ace_inpaint_candidate,1.0,1.0,0.0,s23,1.0,1.0,0.9943144637666188,0.5189608370705715
s23::cand05,s23::cand05,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand05__B.wav,,rerank,s23,0.9658002957912305,0.9877133722044453,0.0,5.0,0.6855451495205737,0.0,ace_inpaint_candidate,1.0,1.0,0.0,s23,0.6155305275637225,0.9537223340040241,0.9897049183051471,0.5836687541693957
s23::cand06,s23::cand06,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand06__B.wav,,rerank,s23,0.9728512146564944,0.9903476735819342,0.0,6.0,0.6770420970589716,0.5,ace_inpaint_candidate,1.0,1.0,0.0,s23,1.0,1.0,0.9891366073263316,0.5226691282213399
s23::cand07,s23::cand07,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand07__B.wav,,rerank,s23,0.9779314216702149,0.988523858884007,0.0,7.0,0.7286401750875049,0.0,ace_inpaint_candidate,1.0,1.0,0.0,s23,1.0,1.0,0.9884168995423858,0.535235315744637
s24::cand00,s24::cand00,results/rerank_ace/audio/s24__A.wav,results/rerank_ace/audio/s24_cand00__B.wav,,rerank,s24,0.9822266561891095,0.9937162123068055,0.5,0.0,0.7991674585325118,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s24,1.0,1.0,0.9897410033579636,0.573332729634812
s24::cand01,s24::cand01,results/rerank_ace/audio/s24__A.wav,results/rerank_ace/audio/s24_cand01__B.wav,,rerank,s24,0.9787111676367752,0.9975042585010658,0.0,1.0,0.6341069261924948,0.2727272727272727,ace_inpaint_candidate,1.0,0.0,0.0,s24,1.0,1.0,0.9955964616080955,0.6795057408202317
s24::cand02,s24::cand02,results/rerank_ace/audio/s24__A.wav,results/rerank_ace/audio/s24_cand02__B.wav,,rerank,s24,0.9564093934959024,0.9828904045701267,0.0,2.0,0.6943188211915302,0.0,ace_inpaint_candidate,1.0,0.0,0.0,s24,1.0,1.0,0.9925043492230661,0.6218665792468268
s24::cand03,s24::cand03,results/rerank_ace/audio/s24__A.wav,results/rerank_ace/audio/s24_cand03__B.wav,,rerank,s24,0.9839976104435201,0.9952890839176692,0.0,3.0,0.7921135653443475,0.2727272727272727,ace_inpaint_candidate,1.0,0.0,5.593039772727266,s24,1.0,1.0,0.9955459696474707,0.7112789466865381
s24::cand04,s24::cand04,results/rerank_ace/audio/s24__A.wav,results/rerank_ace/audio/s24_cand04__B.wav,,rerank,s24,0.9953718472492722,0.9989051581558804,0.0,4.0,0.9204035399228183,0.18181818181818182,ace_inpaint_candidate,1.0,0.0,0.0,s24,1.0,1.0,0.9989828715594445,0.7698460570460358
s24::cand05,s24::cand05,results/rerank_ace/audio/s24__A.wav,results/rerank_ace/audio/s24_cand05__B.wav,,rerank,s24,0.9599274143637128,0.9875335802241222,0.0,5.0,0.6306467287195346,0.0,ace_inpaint_candidate,1.0,0.0,0.0,s24,1.0,1.0,0.9863751123129223,0.4317799364500749
