pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_06::pitch_shift::+4st,classical_06,classical,H,pitch_shift,4.0,0.760496,0.657445,0.963410,0.723759,0.912165,0.984758,0.947766
classical_06::time_stretch::-20pct,classical_06,classical,R,time_stretch,-20.0,0.988067,0.687602,0.834439,0.652644,0.679867,0.956861,0.806560
classical_06::time_stretch::-10pct,classical_06,classical,R,time_stretch,-10.0,0.993930,0.845693,0.902673,0.689541,0.711043,0.977971,0.833894
classical_06::time_stretch::-5pct,classical_06,classical,R,time_stretch,-5.0,0.997987,0.879530,0.930268,0.724054,0.819389,0.989479,0.900427
classical_06::time_stretch::+5pct,classical_06,classical,R,time_stretch,5.0,0.997436,0.871008,0.929823,0.695743,0.849320,0.995708,0.919606
classical_06::time_stretch::+10pct,classical_06,classical,R,time_stretch,10.0,0.986519,0.892624,0.883941,0.689626,0.812228,0.991983,0.897617
classical_06::time_stretch::+20pct,classical_06,classical,R,time_stretch,20.0,0.985704,0.848804,0.887923,0.667647,0.705263,0.989939,0.835564
classical_06::lowpass::lp8000,classical_06,classical,T,lowpass,8000.0,0.999344,0.847287,0.999466,0.695906,0.998311,0.951488,0.974619
classical_06::lowpass::lp4000,classical_06,classical,T,lowpass,4000.0,0.998589,0.628359,0.997548,0.649627,0.994437,0.904735,0.948526
classical_06::lowpass::lp2000,classical_06,classical,T,lowpass,2000.0,0.999230,0.529815,0.993118,0.605904,0.990643,0.835721,0.909891
classical_06::distortion::drv4,classical_06,classical,T,distortion,4.0,0.999532,0.849352,0.985212,0.680820,0.978839,0.990447,0.984626
classical_06::distortion::drv12,classical_06,classical,T,distortion,12.0,0.994831,0.648839,0.949694,0.540312,0.936501,0.933750,0.935125
classical_06::distortion::drv32,classical_06,classical,T,distortion,32.0,0.989607,0.587683,0.942812,0.443670,0.906426,0.784292,0.843150
classical_06::style_swap::swap_cross,classical_06,classical,S,style_swap,nan,0.860518,0.472724,0.758398,0.549085,0.556929,0.677241,0.614146
classical_06::style_swap::swap_same,classical_06,classical,S,style_swap,nan,0.818979,0.522514,0.856778,0.706083,0.639367,0.868580,0.745212
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000,0.726878,1.000000,1.000000,1.000000
classical_07::pitch_shift::-4st,classical_07,classical,H,pitch_shift,-4.0,0.757308,0.547150,0.992228,0.634361,0.970127,0.981726,0.975909
classical_07::pitch_shift::-2st,classical_07,classical,H,pitch_shift,-2.0,0.520474,0.674674,0.997295,0.662274,0.981242,0.989716,0.985470
classical_07::pitch_shift::-1st,classical_07,classical,H,pitch_shift,-1.0,0.613616,0.808642,0.998706,0.697808,0.985515,0.989476,0.987494
classical_07::pitch_shift::+1st,classical_07,classical,H,pitch_shift,1.0,0.608660,0.788862,0.979739,0.702007,0.986098,0.988908,0.987502
classical_07::pitch_shift::+2st,classical_07,classical,H,pitch_shift,2.0,0.502097,0.669379,0.975721,0.631703,0.970213,0.986713,0.978429
classical_07::pitch_shift::+4st,classical_07,classical,H,pitch_shift,4.0,0.742213,0.536622,0.967458,0.654416,0.955511,0.981415,0.968376
classical_07::time_stretch::-20pct,classical_07,classical,R,time_stretch,-20.0,0.988439,0.818068,0.735008,0.739775,0.735543,0.984928,0.851151
classical_07::time_stretch::-10pct,classical_07,classical,R,time_stretch,-10.0,0.999372,0.892039,0.779972,0.758826,0.747170,0.993224,0.861456
classical_07::time_stretch::-5pct,classical_07,classical,R,time_stretch,-5.0,0.999394,0.928397,0.796430,0.742898,0.824387,0.994125,0.905287
classical_07::time_stretch::+5pct,classical_07,classical,R,time_stretch,5.0,0.998852,0.893700,0.819091,0.742265,0.835970,0.991673,0.910499
classical_07::time_stretch::+10pct,classical_07,classical,R,time_stretch,10.0,0.997609,0.865240,0.775110,0.709497,0.731960,0.995550,0.853641
classical_07::time_stretch::+20pct,classical_07,classical,R,time_stretch,20.0,0.994535,0.846588,0.725697,0.726809,0.672566,0.989710,0.815871
classical_07::lowpass::lp8000,classical_07,classical,T,lowpass,8000.0,1.000000,0.887378,0.999931,0.738480,0.999529,0.973099,0.986225
classical_07::lowpass::lp4000,classical_07,classical,T,lowpass,4000.0,0.999998,0.675770,0.999563,0.746205,0.993771,0.950194,0.971738
classical_07::lowpass::lp2000,classical_07,classical,T,lowpass,2000.0,0.999805,0.529654,0.997893,0.685526,0.985957,0.936496,0.960908
classical_07::distortion::drv4,classical_07,classical,T,distortion,4.0,0.999686,0.830664,0.999399,0.732884,0.991332,0.986036,0.988680
classical_07::distortion::drv12,classical_07,classical,T,distortion,12.0,0.997603,0.688581,0.997957,0.681682,0.961737,0.892479,0.926461
classical_07::distortion::drv32,classical_07,classical,T,distortion,32.0,0.991400,0.600469,0.995059,0.579242,0.941190,0.795262,0.865155
