pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_10::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_10::shuffle::shuf_beat,1.000000,0.999048,0.953430,1.000000,0.000000,0.626695,0.938900,0.702168,0.354273,0.000000,0.901244,0.999988,0.681400,0.627618
folk_10::shuffle::shuf_bar,1.000000,0.999825,0.943544,1.000000,0.000000,0.641267,0.925643,0.619860,0.381305,0.294118,0.953966,0.999995,0.704102,0.649554
folk_10::reverse::rev,1.000000,0.999997,0.927512,1.000000,0.000000,0.641267,0.984906,0.837064,0.263044,0.000000,0.793632,0.999998,0.680048,0.636814
folk_10::displacement::disp_near,1.000000,0.997837,0.974063,0.710493,0.000000,0.533369,0.938900,0.702168,0.534955,0.000000,0.727339,0.999412,0.656853,0.615900
folk_10::displacement::disp_far,0.833333,0.995229,0.941153,0.710493,0.000000,0.720021,0.932645,0.758428,0.379935,0.058824,0.647557,0.999126,0.638475,0.601993
folk_11::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_11::shuffle::shuf_beat,1.000000,0.998607,0.876480,1.000000,0.923077,0.529330,0.932776,0.391063,0.561298,0.000000,0.900348,0.999993,0.735565,0.692704
folk_11::shuffle::shuf_bar,1.000000,0.999916,0.813019,0.064532,0.200000,0.517511,0.954106,0.764525,0.312815,0.333333,0.978427,0.999999,0.630589,0.558876
folk_11::reverse::rev,1.000000,0.999998,0.943565,0.116098,0.200000,0.517511,0.984676,0.911981,0.487215,0.000000,0.790542,0.999999,0.645211,0.595321
folk_11::displacement::disp_near,1.000000,0.984465,0.949889,0.064532,0.000000,0.000000,1.000000,1.000000,0.448771,0.000000,0.590632,0.997788,0.567179,0.522739
