pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,cocola,cocola_h,cocola_p
rock_02::distortion::drv32,rock_02,rock,distortion,32.0,tanh_drive,68.11343383789062,67.20467376708984,71.05806732177734
rock_02::style_swap::swap_cross,rock_02,rock,style_swap,nan,cross_genre,39.862281799316406,40.36552810668945,42.88495635986328
rock_02::style_swap::swap_same,rock_02,rock,style_swap,nan,same_genre,50.97934341430664,54.881202697753906,55.16271209716797
rock_03::control::ctrl,rock_03,rock,control,0.0,none,62.74750518798828,68.73438262939453,67.95149230957031
rock_03::pitch_shift::-4st,rock_03,rock,pitch_shift,-4.0,semitones,60.93144607543945,65.44055938720703,67.43971252441406
rock_03::pitch_shift::-2st,rock_03,rock,pitch_shift,-2.0,semitones,61.780670166015625,68.08953094482422,67.90035247802734
rock_03::pitch_shift::-1st,rock_03,rock,pitch_shift,-1.0,semitones,60.507904052734375,63.80035400390625,66.89448547363281
rock_03::pitch_shift::+1st,rock_03,rock,pitch_shift,1.0,semitones,59.835426330566406,62.93812942504883,66.12677764892578
rock_03::pitch_shift::+2st,rock_03,rock,pitch_shift,2.0,semitones,61.7490119934082,68.19023132324219,66.93598937988281
rock_03::pitch_shift::+4st,rock_03,rock,pitch_shift,4.0,semitones,60.93071365356445,68.71529388427734,66.68903350830078
rock_03::time_stretch::-20pct,rock_03,rock,time_stretch,-20.0,percent_tempo,41.45640563964844,50.82801818847656,43.065303802490234
rock_03::time_stretch::-10pct,rock_03,rock,time_stretch,-10.0,percent_tempo,40.48796844482422,48.970306396484375,44.463653564453125
rock_03::time_stretch::-5pct,rock_03,rock,time_stretch,-5.0,percent_tempo,52.9078483581543,55.27337646484375,55.90447235107422
rock_03::time_stretch::+5pct,rock_03,rock,time_stretch,5.0,percent_tempo,56.44900131225586,64.55965423583984,58.63936233520508
rock_03::time_stretch::+10pct,rock_03,rock,time_stretch,10.0,percent_tempo,50.987770080566406,57.14786148071289,54.78386306762695
rock_03::time_stretch::+20pct,rock_03,rock,time_stretch,20.0,percent_tempo,46.09433364868164,51.277976989746094,49.858665466308594
rock_03::lowpass::lp8000,rock_03,rock,lowpass,8000.0,hz_cutoff,62.73054504394531,69.3311538696289,67.96382141113281
rock_03::lowpass::lp4000,rock_03,rock,lowpass,4000.0,hz_cutoff,62.535160064697266,68.23463439941406,68.07703399658203
rock_03::lowpass::lp2000,rock_03,rock,lowpass,2000.0,hz_cutoff,61.14639663696289,67.42659759521484,66.90758514404297
rock_03::distortion::drv4,rock_03,rock,distortion,4.0,tanh_drive,61.64558410644531,69.259765625,66.74286651611328
rock_03::distortion::drv12,rock_03,rock,distortion,12.0,tanh_drive,60.105491638183594,63.611019134521484,64.35772705078125
rock_03::distortion::drv32,rock_03,rock,distortion,32.0,tanh_drive,58.09146499633789,63.195186614990234,62.35428237915039
rock_03::style_swap::swap_cross,rock_03,rock,style_swap,nan,cross_genre,45.550933837890625,49.51429748535156,49.761104583740234
rock_03::style_swap::swap_same,rock_03,rock,style_swap,nan,same_genre,50.22576904296875,54.554935455322266,54.384010314941406
rock_04::control::ctrl,rock_04,rock,control,0.0,none,67.61338806152344,66.7559585571289,68.23554229736328
rock_04::pitch_shift::-4st,rock_04,rock,pitch_shift,-4.0,semitones,65.96376037597656,64.73762512207031,65.65606689453125
rock_04::pitch_shift::-2st,rock_04,rock,pitch_shift,-2.0,semitones,66.92827606201172,64.63330078125,67.10645294189453
rock_04::pitch_shift::-1st,rock_04,rock,pitch_shift,-1.0,semitones,66.70819091796875,64.17223358154297,67.4297103881836
rock_04::pitch_shift::+1st,rock_04,rock,pitch_shift,1.0,semitones,66.16303253173828,61.881649017333984,67.31263732910156
rock_04::pitch_shift::+2st,rock_04,rock,pitch_shift,2.0,semitones,67.31343078613281,63.640357971191406,67.97225189208984
rock_04::pitch_shift::+4st,rock_04,rock,pitch_shift,4.0,semitones,67.4180679321289,62.94878387451172,66.6567153930664
rock_04::time_stretch::-20pct,rock_04,rock,time_stretch,-20.0,percent_tempo,53.74372482299805,60.24491882324219,53.04587936401367
rock_04::time_stretch::-10pct,rock_04,rock,time_stretch,-10.0,percent_tempo,40.944854736328125,52.38155746459961,42.11819839477539
rock_04::time_stretch::-5pct,rock_04,rock,time_stretch,-5.0,percent_tempo,56.89642333984375,60.48238754272461,57.69017028808594
rock_04::time_stretch::+5pct,rock_04,rock,time_stretch,5.0,percent_tempo,59.60350036621094,62.072200775146484,58.34624481201172
rock_04::time_stretch::+10pct,rock_04,rock,time_stretch,10.0,percent_tempo,55.419795989990234,59.15213394165039,53.08613586425781
rock_04::time_stretch::+20pct,rock_04,rock,time_stretch,20.0,percent_tempo,51.588199615478516,62.58158493041992,49.09792709350586
rock_04::lowpass::lp8000,rock_04,rock,lowpass,8000.0,hz_cutoff,67.6098861694336,66.76728820800781,68.2311019897461
rock_04::lowpass::lp4000,rock_04,rock,lowpass,4000.0,hz_cutoff,66.3670883178711,64.3885269165039,68.1011962890625
rock_04::lowpass::lp2000,rock_04,rock,lowpass,2000.0,hz_cutoff,64.87410736083984,62.23522186279297,66.60469818115234
rock_04::distortion::drv4,rock_04,rock,distortion,4.0,tanh_drive,67.38975524902344,66.21964263916016,67.50308990478516
rock_04::distortion::drv12,rock_04,rock,distortion,12.0,tanh_drive,66.5174789428711,61.55610656738281,66.31466674804688
rock_04::distortion::drv32,rock_04,rock,distortion,32.0,tanh_drive,63.05439758300781,59.38664245605469,62.8317756652832
rock_04::style_swap::swap_cross,rock_04,rock,style_swap,nan,cross_genre,57.65121078491211,57.0503044128418,56.41680145263672
rock_04::style_swap::swap_same,rock_04,rock,style_swap,nan,same_genre,53.57916259765625,60.89653396606445,52.87847900390625
rock_05::control::ctrl,rock_05,rock,control,0.0,none,70.84520721435547,66.35214233398438,71.35408020019531
rock_05::pitch_shift::-4st,rock_05,rock,pitch_shift,-4.0,semitones,68.62940216064453,67.28723907470703,69.9361343383789
rock_05::pitch_shift::-2st,rock_05,rock,pitch_shift,-2.0,semitones,68.88387298583984,66.12564086914062,69.97746276855469
rock_05::pitch_shift::-1st,rock_05,rock,pitch_shift,-1.0,semitones,69.03330993652344,66.5499038696289,69.1728286743164
rock_05::pitch_shift::+1st,rock_05,rock,pitch_shift,1.0,semitones,69.40743255615234,65.22390747070312,71.00125122070312
rock_05::pitch_shift::+2st,rock_05,rock,pitch_shift,2.0,semitones,67.77722930908203,65.18023681640625,71.29418182373047
rock_05::pitch_shift::+4st,rock_05,rock,pitch_shift,4.0,semitones,68.90736389160156,66.70024108886719,72.57887268066406
rock_05::time_stretch::-20pct,rock_05,rock,time_stretch,-20.0,percent_tempo,54.847686767578125,52.55386734008789,55.88128662109375
